Date,Venue,Performers,URL,IsFree
"Tuesday, 26 September 2023 07:30 PM",ENMORE THEATRE,TEMS + Jacoténe + Kojey Radical,https://www.enmoretheatre.com.au/event/tems/,
"Friday, 29 September 2023 08:00 PM",ENMORE THEATRE,NOAH REID + Clerel,https://www.enmoretheatre.com.au/event/noah-reid/,
"Saturday, 30 September 2023 08:00 PM",ENMORE THEATRE,JET + Pacific Avenue,https://www.enmoretheatre.com.au/event/jet/,
"Sunday, 01 October 2023 08:00 PM",ENMORE THEATRE,SOHRAB PAKZAD + ,https://www.enmoretheatre.com.au/event/sohrab-pakzad/,
"Tuesday, 03 October 2023 07:30 PM",ENMORE COMEDY CLUB,ENMORE COMEDY CLUB + ,https://www.enmoretheatre.com.au/event/enmore-comedy-club/,
"Tuesday, 17 October 2023 07:30 PM",ENMORE COMEDY CLUB,ENMORE COMEDY CLUB + ,https://www.enmoretheatre.com.au/event/enmore-comedy-club/,
"Wednesday, 04 October 2023 07:00 PM",ENMORE THEATRE,DISNEY PRINCESS – THE CONCERT + ,https://www.enmoretheatre.com.au/event/disney-princess-the-concert/,
"Thursday, 05 October 2023 03:00 PM",ENMORE THEATRE,DISNEY PRINCESS – THE CONCERT + ,https://www.enmoretheatre.com.au/event/disney-princess-the-concert/,
"Thursday, 05 October 2023 07:00 PM",ENMORE THEATRE,DISNEY PRINCESS – THE CONCERT + ,https://www.enmoretheatre.com.au/event/disney-princess-the-concert/,
"Saturday, 07 October 2023 07:00 PM",ENMORE THEATRE,THE WHITLAMS + Elana Stone + William Crighton,https://www.enmoretheatre.com.au/event/the-whitlams/,
"Sunday, 08 October 2023 08:00 PM",ENMORE THEATRE,IN CONVERSATION WITH MICHAEL FRANZESE + ,https://www.enmoretheatre.com.au/event/michael-franzese/,
"Tuesday, 10 October 2023 08:00 PM",ENMORE THEATRE,CHET FAKER + ,https://www.enmoretheatre.com.au/event/chet-faker/,
"Wednesday, 11 October 2023 08:00 PM",ENMORE THEATRE,GARY JANETTI + ,https://www.enmoretheatre.com.au/event/gary-janetti/,
"Friday, 13 October 2023 08:00 PM",ENMORE THEATRE,BAKAR + ,https://www.enmoretheatre.com.au/event/bakar/,
"Friday, 13 October 2023 08:00 PM",ENMORE THEATRE,DIED PRETTY - CANCELLED + ,https://www.enmoretheatre.com.au/event/died-pretty/,
"Saturday, 14 October 2023 08:00 PM",ENMORE THEATRE,DMA'S - How Many Dreams? Australian Tour + Fazerdaze,https://www.enmoretheatre.com.au/event/dmas/,
"Sunday, 15 October 2023 08:00 PM",ENMORE THEATRE,DMA'S - How Many Dreams? Australian Tour + Fazerdaze,https://www.enmoretheatre.com.au/event/dmas/,
"Friday, 20 October 2023 08:00 PM",ENMORE THEATRE,HAPPY MONDAYS + ,https://www.enmoretheatre.com.au/event/happy-mondays/,
"Saturday, 21 October 2023 07:00 PM",ENMORE THEATRE,LAUV + ,https://www.enmoretheatre.com.au/event/lauv/,
"Sunday, 22 October 2023 07:00 PM",ENMORE THEATRE,LAUV + ,https://www.enmoretheatre.com.au/event/lauv/,
"Monday, 23 October 2023 08:00 PM",ENMORE THEATRE,NILE RODGERS & CHIC + ,https://www.enmoretheatre.com.au/event/nile-rodgers-chic/,
"Wednesday, 25 October 2023 08:00 PM",ENMORE THEATRE,NILE RODGERS & CHIC + ,https://www.enmoretheatre.com.au/event/nile-rodgers-chic/,
"Tuesday, 24 October 2023 08:00 PM",ENMORE THEATRE,BRIGHT EYES + ,https://www.enmoretheatre.com.au/event/bright-eyes/,
"Friday, 27 October 2023 08:00 PM",ENMORE THEATRE,KERSER + ,https://www.enmoretheatre.com.au/event/kerser/,
"Saturday, 28 October 2023 08:00 PM",ENMORE THEATRE,TREVOR WALLACE LIVE + ,https://www.enmoretheatre.com.au/event/trevor-wallace/,
"Sunday, 29 October 2023 08:00 PM",ENMORE THEATRE,LAUREN SPENCER-SMITH + ,https://www.enmoretheatre.com.au/event/lauren-spencer-smith/,
"Wednesday, 01 November 2023 07:00 PM",ENMORE THEATRE,ZIGGY ALBERTS + Nathan Ball + Little Green,https://www.enmoretheatre.com.au/event/ziggy-alberts/,
"Thursday, 02 November 2023 07:00 PM",ENMORE THEATRE,ZIGGY ALBERTS + Nathan Ball + Little Green,https://www.enmoretheatre.com.au/event/ziggy-alberts/,
"Friday, 03 November 2023 07:00 PM",ENMORE THEATRE,ZIGGY ALBERTS + Nathan Ball + Little Green,https://www.enmoretheatre.com.au/event/ziggy-alberts/,
"Sunday, 05 November 2023 08:00 PM",ENMORE THEATRE,STEVE VAI + ,https://www.enmoretheatre.com.au/event/steve-vai/,
"Saturday, 11 November 2023 08:00 PM",ENMORE THEATRE,THE CORONAS + Roison O,https://www.enmoretheatre.com.au/event/the-coronas/,
"Sunday, 12 November 2023 06:30 PM",ENMORE THEATRE,TEDDY - CAN'T CHANGE MY MIND + ,https://www.enmoretheatre.com.au/event/teddy/,
"Monday, 13 November 2023 08:00 PM",ENMORE THEATRE,PHIL WANG + ,https://www.enmoretheatre.com.au/event/phil-wang/,
"Tuesday, 14 November 2023 07:00 PM",ENMORE THEATRE,BASSEM YOUSSEF + ,https://www.enmoretheatre.com.au/event/bassem-youssef/,
"Thursday, 16 November 2023 08:00 PM",ENMORE THEATRE,THE BRIAN JONESTOWN MASSACRE + ,https://www.enmoretheatre.com.au/event/the-brian-jonestown-massacre/,
"Friday, 17 November 2023 07:30 PM",ENMORE THEATRE,GRINSPOON + Cupid & The Stupids + Private Function,https://www.enmoretheatre.com.au/event/grinspoon/,
"Saturday, 18 November 2023 08:00 PM",ENMORE THEATRE,THE DOORS ALIVE + ,https://www.enmoretheatre.com.au/event/the-doors-alive-2/,
"Sunday, 19 November 2023 07:00 PM",ENMORE THEATRE,SAM MORRIL + ,https://www.enmoretheatre.com.au/event/sam-morril/,
