Date,Venue,Performers,URL,IsFree
2023-09-27T19:00:00,"Oxford Art Factory, Sydney",PIRI – with Special Guests!,https://www.moshtix.com.au/v2/event/piri-–-with-special-guests/156133,
2023-09-28T19:30:00,"Oxford Art Factory, Sydney","NEXTSOUND ft. Battlesnake, Platonic Sex and Good Pash",https://www.moshtix.com.au/v2/event/nextsound-ft-battlesnake-platonic-sex-and-good-pash/157550,
2023-09-29T21:00:00,"Oxford Art Factory, Sydney",Shelter Presents: Ben Gerrans House Of Fauna Tour | Sydney,https://www.moshtix.com.au/v2/event/shelter-presents-ben-gerrans-house-of-fauna-tour-sydney/155347,
2023-09-30T21:00:00,"Oxford Art Factory, Sydney",THICK ‘N’ JUICY Sydney - Labour Day Weekend,https://www.moshtix.com.au/v2/event/thick-‘n’-juicy-sydney-labour-day-weekend/156022,
2023-10-01T22:00:00,"Oxford Art Factory, Sydney",Loose Ends October Long-Weekend Party,https://www.moshtix.com.au/v2/event/loose-ends-october-long-weekend-party/156392,
2023-10-06T19:30:00,"Oxford Art Factory, Sydney",Cabaret of Curiosities,https://www.moshtix.com.au/v2/event/cabaret-of-curiosities/155910,
2023-10-06T23:59:00,"Oxford Art Factory, Sydney",On Repeat: Luke Combs - Sydney,https://www.moshtix.com.au/v2/event/on-repeat-luke-combs-sydney/156642,
2023-10-07T22:00:00,"Oxford Art Factory, Sydney",HOMO Turns TWO ,https://www.moshtix.com.au/v2/event/homo-turns-two/156573,
2023-10-11T19:00:00,"Oxford Art Factory, Sydney",Sip n Sing Rock Choir: The Cure&#39;s Friday I&#39;m In Love,https://www.moshtix.com.au/v2/event/sip-n-sing-rock-choir-the-cures-friday-im-in-love/156244,
2023-10-12T19:30:00,"Oxford Art Factory, Sydney", The Grogans AUS/NZ Spring 2023 Tour | Sydney,https://www.moshtix.com.au/v2/event/the-grogans-aus-nz-spring-2023-tour-sydney/155151,
2023-10-13T19:30:00,"Oxford Art Factory, Sydney",POSSESHOT &#39;LOUD IN YA AREA&#39; TOUR,https://www.moshtix.com.au/v2/event/posseshot-loud-in-ya-area-tour/154719,
2023-10-14T20:00:00,"Oxford Art Factory, Sydney",Shrekween Sydney,https://www.moshtix.com.au/v2/event/shrekween-sydney/150893,
2023-10-17T19:30:00,"Oxford Art Factory, Sydney",SORRY | Australia &amp; New Zealand Tour,https://www.moshtix.com.au/v2/event/sorry-australia-new-zealand-tour/154482,
2023-10-19T19:30:00,"Oxford Art Factory, Sydney",CANNONS,https://www.moshtix.com.au/v2/event/cannons/155160,
2023-10-20T18:30:00,"Oxford Art Factory, Sydney",FRNDS MGMT SHOWCASE,https://www.moshtix.com.au/v2/event/frnds-mgmt-showcase/156880,
2023-10-21T19:00:00,"Oxford Art Factory, Sydney",EIGHTY-SIX ft. MUST DIE!,https://www.moshtix.com.au/v2/event/eighty-six-ft-must-die/156239,
2023-10-21T23:45:00,"Oxford Art Factory, Sydney",SCENES. 2ND BIRTHDAY,https://www.moshtix.com.au/v2/event/scenes-2nd-birthday/157258,
2023-10-22T17:30:00,"Oxford Art Factory, Sydney",Kosheen Live ,https://www.moshtix.com.au/v2/event/kosheen-live/156720,
2023-10-23T19:30:00,"Oxford Art Factory, Sydney",WARPAINT,https://www.moshtix.com.au/v2/event/warpaint/156095,
2023-10-27T19:00:00,"Oxford Art Factory, Sydney",The Regime - Love Funky Revolution Album Launch Party ,https://www.moshtix.com.au/v2/event/the-regime-love-funky-revolution-album-launch-party/156304,
2023-10-27T23:45:00,"Oxford Art Factory, Sydney",ABBAWEEN: Disco Halloween Party! - Sydney,https://www.moshtix.com.au/v2/event/abbaween-disco-halloween-party-sydney/157053,
2023-10-28T23:45:00,"Oxford Art Factory, Sydney",Taking Back Saturday: Emo &amp; Pop Punk Halloween – Sydney,https://www.moshtix.com.au/v2/event/taking-back-saturday-emo-pop-punk-halloween-–-sydney/156872,
2023-11-03T19:30:00,"Oxford Art Factory, Sydney",The Kite String Tangle - Lustre Album Tour,https://www.moshtix.com.au/v2/event/the-kite-string-tangle-lustre-album-tour/156484,
2023-11-04T19:30:00,"Oxford Art Factory, Sydney",Felipe Baldomir &#39;You&#39; Australian Tour 2023,https://www.moshtix.com.au/v2/event/felipe-baldomir-you-australian-tour-2023/155856,
2023-11-04T23:59:00,"Oxford Art Factory, Sydney",Oxford Street Rave - Eora/Sydney [ft. LeStrange],https://www.moshtix.com.au/v2/event/oxford-street-rave-eora-sydney-ft-lestrange/157176,
2023-11-09T19:30:00,"Oxford Art Factory, Sydney",Carla Wehbe - The Jupiter &amp; Mars Tour (with special guests),https://www.moshtix.com.au/v2/event/carla-wehbe-the-jupiter-mars-tour-with-special-guests/155206,
2023-11-10T19:30:00,"Oxford Art Factory, Sydney",Fig - No Need To Rest Album Launch,https://www.moshtix.com.au/v2/event/fig-no-need-to-rest-album-launch/157567,
2023-11-10T23:59:00,"Oxford Art Factory, Sydney",SCENES. - 10.11.2023,https://www.moshtix.com.au/v2/event/scenes-10-11-2023/157493,
2023-11-16T19:30:00,"Oxford Art Factory, Sydney",Kerala Dust - Violet Drive,https://www.moshtix.com.au/v2/event/kerala-dust-violet-drive/157303,
2023-11-17T20:00:00,"Oxford Art Factory, Sydney",The Music of Eminem Remastered,https://www.moshtix.com.au/v2/event/the-music-of-eminem-remastered/155058,
2023-11-22T19:30:00,"Oxford Art Factory, Sydney",JOY (ANONYMOUS),https://www.moshtix.com.au/v2/event/joy-anonymous/155782,
2023-11-23T19:00:00,"Oxford Art Factory, Sydney",Loretta Present: The ‘All My Friends’ Show,https://www.moshtix.com.au/v2/event/loretta-present-the-‘all-my-friends’-show/157518,
2023-11-24T19:00:00,"Oxford Art Factory, Sydney",The Rions - Minivan EP Tour,https://www.moshtix.com.au/v2/event/the-rions-minivan-ep-tour/155738,
2023-11-25T19:30:00,"Oxford Art Factory, Sydney",These New South Whales,https://www.moshtix.com.au/v2/event/these-new-south-whales/157519,
2023-11-27T19:30:00,"Oxford Art Factory, Sydney",TOPS,https://www.moshtix.com.au/v2/event/tops/156230,
2023-11-29T21:00:00,"Oxford Art Factory, Sydney",Post Malone Appreciation Night Sydney,https://www.moshtix.com.au/v2/event/post-malone-appreciation-night-sydney/154748,
2023-11-30T23:45:00,"Oxford Art Factory, Sydney",Electric Callboy Afterparty (Unofficial) Emo Night Sydney,https://www.moshtix.com.au/v2/event/electric-callboy-afterparty-unofficial-emo-night-sydney/155506,
2023-12-09T21:00:00,"Oxford Art Factory, Sydney",HALO: Dark &amp; Alternative Club,https://www.moshtix.com.au/v2/event/halo-dark-alternative-club/154625,
2024-01-06T19:30:00,"Oxford Art Factory, Sydney","mclusky @ OAF, Syd - 6 Jan 2024",https://www.moshtix.com.au/v2/event/mclusky-oaf-syd-6-jan-2024/138303,
2024-01-09T19:30:00,"Oxford Art Factory, Sydney",Elita Australia Tour 2024 ,https://www.moshtix.com.au/v2/event/elita-australia-tour-2024/157452,
2024-02-02T19:30:00,"Oxford Art Factory, Sydney",The Moving Stills “Wabi Sabi” Album Tour,https://www.moshtix.com.au/v2/event/the-moving-stills-“wabi-sabi”-album-tour/157100,
2024-02-02T23:45:00,"Oxford Art Factory, Sydney",Louis Tomlinson Afterparty + One Direction on repeat all night,https://www.moshtix.com.au/v2/event/louis-tomlinson-afterparty-one-direction-on-repeat-all-night/155507,
2024-02-16T23:45:00,"Oxford Art Factory, Sydney",Blink-182 Afterparty - Emo Night Sydney,https://www.moshtix.com.au/v2/event/blink-182-afterparty-emo-night-sydney/155733,
2024-02-17T23:45:00,"Oxford Art Factory, Sydney",Blink-182 Afterparty 2 - Emo Night Sydney,https://www.moshtix.com.au/v2/event/blink-182-afterparty-2-emo-night-sydney/155734,
2024-02-21T19:30:00,"Oxford Art Factory, Sydney",BLANCO WHITE,https://www.moshtix.com.au/v2/event/blanco-white/157441,
2024-02-23T23:45:00,"Oxford Art Factory, Sydney",Taylor Swift Eras Tour After Party Sydney - Night 1,https://www.moshtix.com.au/v2/event/taylor-swift-eras-tour-after-party-sydney-night-1/154237,
2024-02-24T23:45:00,"Oxford Art Factory, Sydney",Taylor Swift Eras Tour After Party Sydney - Night 2,https://www.moshtix.com.au/v2/event/taylor-swift-eras-tour-after-party-sydney-night-2/154244,
2023-09-27T18:00:00,The Vanguard,&quot;Flora and Son&quot; Special Advanced Screening (FREE),https://www.moshtix.com.au/v2/event/flora-and-son-special-advanced-screening-free/157483,
2023-09-28T19:30:00,The Vanguard,LUCA BRASI | ACOUSTIC ALBUM LAUNCH SYDNEY,https://www.moshtix.com.au/v2/event/luca-brasi-acoustic-album-launch-sydney/155832,
2023-09-29T18:30:00,The Vanguard,THE RAPTURE,https://www.moshtix.com.au/v2/event/the-rapture/157310,
2023-09-30T19:00:00,The Vanguard,RITUAL VOID WORSHIP! W/ PESTILENTIAL SHADOWS | GRAVEIR | RUNESPELL | PETROL,https://www.moshtix.com.au/v2/event/ritual-void-worship-w-pestilential-shadows-graveir-runespell-petrol/155465,
2023-10-01T19:00:00,The Vanguard,FUR BALL,https://www.moshtix.com.au/v2/event/fur-ball/156877,
2023-10-04T18:00:00,The Vanguard,HALEY HOLGATE &#39;A GOOD FEMINIST&#39; SINGLE LAUNCH W/ ISOBEL KNIGHT &amp; ANNALINA ,https://www.moshtix.com.au/v2/event/haley-holgate-a-good-feminist-single-launch-w-isobel-knight-annalina/156684,
2023-10-05T19:00:00,The Vanguard,CANAAN COX (US): COMING HOME TOUR,https://www.moshtix.com.au/v2/event/canaan-cox-us-coming-home-tour/154853,
2023-10-06T18:00:00,The Vanguard,TANIA DOKO - THE BEAUTY&#39;S IN THE BROKEN - LIVE W/ SPECIAL GUEST IMOGEN CLARK,https://www.moshtix.com.au/v2/event/tania-doko-the-beautys-in-the-broken-live-w-special-guest-imogen-clark/154996,
2023-10-07T18:00:00,The Vanguard,DISCOTHEQUE &#192; GOGO,https://www.moshtix.com.au/v2/event/discotheque-a-gogo/154490,
2023-10-08T19:00:00,The Vanguard,JACK DAVIES (WA) SOLO *SELLING FAST*,https://www.moshtix.com.au/v2/event/jack-davies-wa-solo-selling-fast/156847,
2023-10-10T19:00:00,The Vanguard,"BOURKE&#39;S, THE CORNERS, &amp; NO PROSPECT TAKE THE VANGUARD BY STORM",https://www.moshtix.com.au/v2/event/bourkes-the-corners-no-prospect-take-the-vanguard-by-storm/156389,
2023-10-11T19:00:00,The Vanguard,ZSA ZSA &#39;SUBMARINE&#39; SINGLE LAUNCH W/ LOTTIE WORLD + HUBCAPS,https://www.moshtix.com.au/v2/event/zsa-zsa-submarine-single-launch-w-lottie-world-hubcaps/156034,
